"query_holder","segment","entity_name","entity_number","registration_date","nature_of_business","entity_status","company_type","isic_classification","exact_name_match","annual_return_filed","beneficial_owner_declared","nominal_capital_ok","annual_return_reason","beneficial_owner_reason","nominal_capital_reason"
"5 stars Multi Purpose Coopérative Society Limited","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"A.Argente and Company Limited","critical_battery","A.A ARGENTE AND COMPANY LIMITED","120040055091","21/04/2004","","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","0","0",,,
"A.L. IMPORTERS AND EXPORTERS LIMITED","gemstones","A.L. IMPORTERS AND EXPORTERS LIMITED","120220026403","11/01/2022","Other retail sale in non-specialized stores","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","1","0",,,
"A.M Aggeliki Maria Consulting Solutions Limited","critical_battery","A.M AGGELIKI MARIA CONSULTING SOLUTIONS LIMITED","120140119813","14/02/2014","Manufacture of other special-purpose machinery","Active","Local Company - Limited by Shares","","resolved_via_normalised_query","1","0","1",,,
"AA Minerals Limited","gemstones","AA MINERALS LIMITED","120210023366","08/11/2021","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"AA Ventures Company Limited","base_metals","AA VENTURES COMPANY LIMITED","120220038492","01/09/2022","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Aabrick Zambia Limited","construction_materials","AABRICK ZAMBIA LIMITED","120140125422","25/08/2014","Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","Active","Local Company - Limited by Shares","4759. Retail sale of electrical household appliances, furniture, lighting equipment and other household articles in specialized stores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 23/08/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"AAkala Investment Limited","gemstones","AAKALA INVESTMENTS LIMITED","119930030038","20/10/1993","Support activities for other mining and quarrying","Inactive","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","False","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 24/03/2016. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"AAL- Grace Mining Co-operative Society Limited","gold","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Aarey Mining Limited","gemstones","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","True","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"Abar International Investments Limited","gemstones","ABAR INTERNATIONAL INVESTMENTS LIMITED","119970037880","13/03/1997","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/03/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Abdahom Mining Limited","critical_battery","ABDAHOM MINING LIMITED","120210021817","07/10/2021"," Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/08/2022. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Abege Investments Limited","gemstones","ABEGE INVESTMENT LIMITED","120220028643","22/02/2022","Wholesale of metals and metal ores","Active","Local Company - Limited by Shares","4662. Wholesale of metals and metal ores","False","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Abeydo Investment Limited","critical_battery","ABEYDO INVESTMENT LIMITED","120230059903","20/11/2023","Other construction installation","Active","Local Company - Limited by Shares","4329. Other construction installation","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 18/11/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Abida Seed Consulting Limited","gemstones","ABIDA SEED CONSULTING LIMITED","120230051000","23/05/2023","Management consultancy activities","Active","Local Company - Limited by Shares","7020. Management consultancy activities","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 22/05/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Abilene Mining Limited","gemstones","ABILENE MINING LIMITED","120200001937","06/03/2020","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 05/03/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Abracha Zambia Limited","gemstones","ABRACHA ZAMBIA LIMITED","120120101571","02/05/2012","Construction of buildings","Active","Local Company - Limited by Shares","4100. Construction of buildings","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/04/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"AC and G Njanji Mining Company Limited","gold","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Achilles Mining Limited","critical_battery","ACHILLES MINING LIMITED","120190003245","25/04/2019","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Activeone Investment Limited","gold","ACTIVEONE INVESTMENT LIMITED","120241011345","17/08/2024","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 16/08/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"ADAKOLE VENTURES LIMITED","gemstones","ADAKOLE VENTURES LIMITED","120241016006","20/11/2024","Real estate activities with own or leased property","Active","Local Company - Limited by Shares","6810. Real estate activities with own or leased property","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 15/11/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Addulum Cave Investments Limited","critical_battery","ADDULUM CAVE INVESTMENTS LIMITED","120230058885","31/10/2023","Mining of chemical and fertilizer minerals","Active","Local Company - Limited by Shares","0891. Mining of chemical and fertilizer minerals","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 25/10/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"ADEMUKO MINING CONTRACTORS AND ENGINEERING  SERVICES LIMITED","critical_battery","ADEMUKO MINING CONTRACTORS AND ENGINEERING SERVICES LIMITED","120230051574","05/06/2023","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","False","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 05/06/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Adept Services Zambia Limited","base_metals","ADEPT SERVICES ZAMBIA LIMITED","120160006321","07/09/2016","Construction of buildings","Active","Local Company - Limited by Shares","4100. Construction of buildings","True","1","0","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 30/08/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"ADHI SHIVA ENTERPRISES LIMITED","critical_battery","ADHI SHIVA ENTERPRISES LIMITED","120241006444","10/05/2024","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 03/05/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Adonai Exploration and Mining Company Limited","gemstones","ADONAI EXPLORATION AND MINING LIMITED","120220026492","12/01/2022","Manufacture of grain mill products","Active","Local Company - Limited by Shares","1061. Manufacture of grain mill products","False","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 11/01/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Advantex Investments Limited","base_metals","ADVANTEX INVESTMENTS LIMITED","120130108700","16/01/2013","Materials recovery","Active","Local Company - Limited by Shares","3830. Materials recovery","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/01/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"ADYA Enterprises Limited","critical_battery","ADYA ENTERPRISES LIMITED","120150134161","22/07/2015","Other retail sale not in stores, stalls or markets","Active","Local Company - Limited by Shares","4799. Other retail sale not in stores, stalls or markets","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 29/12/2023. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Aeolus International Corporation Zambia Limited","gemstones","AEOLUS INTERNATIONAL CORPORATION ZAMBIA LIMITED","120090077504","20/02/2009","Other transportation support activities","Active","Local Company - Limited by Shares","5229. Other transportation support activities","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/03/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Aeon Engineering Limited","critical_battery","AEON ENGINEERING LIMITED","120220027524","02/02/2022","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","1","1","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Afreca Gold City Limited","critical_battery","AFRECA GOLD CITY LIMITED","120210014387","29/03/2021","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/12/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"AFRICA BASE METALS HOLDING LIMITED","gemstones","AFRICA BASE METAL HOLDING LIMITED","120241013698","04/10/2024","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","False","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 30/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Africa Prospect Development Zambia Limited","gemstones","AFRICA PROSPECT DEVELOPMENT ZAMBIA LIMITED","120170005080","06/07/2017","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/07/2022. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Africamark Company Limited","gemstones","AFRICAMARK COMPANY LIMITED","120170009709","13/12/2017","Manufacture of other general-purpose machinery","Active","Local Company - Limited by Shares","2819. Manufacture of other general-purpose machinery","True","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"African Brothers Corporation Limited","critical_battery","AFRICAN BROTHERS CORPORATION LIMITED","119980041780","08/12/1998","Construction of buildings","Active","Local Company - Limited by Shares","4100. Construction of buildings","True","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 30/03/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"African Crane Hiring and Logistics Limited","critical_battery","AFRICAN CRANE HIRING & LOGISTICS LIMITED","120120101397","24/04/2012","Other professional, scientific and technical activities n.e.c.","Active","Local Company - Limited by Shares","7490. Other professional, scientific and technical activities n.e.c.","False","1","0","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"African Deposit Limited","gold","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","True","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"African Ferro Alloys Limited","critical_battery","AFRICAN FERRO ALLOYS LIMITED","120180007913","20/09/2018","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 01/10/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"African Fluorite Mining Limited","gemstones","AFRICAN FLUORITE MINING LIMITED","120230046287","17/02/2023","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 16/02/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"AFRICAN GOLD TRADERS LIMITED","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"African Inkalamo Mining Limited","critical_battery","AFRICAN INKALAMO MINING COMPANY LIMITED","120220035275","27/06/2022","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","False","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 27/06/2027. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"African Metals and  Mining Limited","gemstones","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","False","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"African Minerals and Metals Corporation Limited","gemstones","AFRICAN MINERALS AND METALS CORPORATION LIMITED","120130108337","04/01/2013","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/03/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"African Pearl Estates Limited","gemstones","AFRICAN PEARL ESTATES LIMITED","120130116016","01/10/2013","Real estate activities on a fee or contract basis","Active","Local Company - Limited by Shares","6820. Real estate activities on a fee or contract basis","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 29/12/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"African Pioneer Zambia Limited","critical_battery","AFRICAN PIONEER ZAMBIA LIMITED","120200007992","23/09/2020","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/09/2024. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"African Power Coal Limited","gemstones","AFRICAN POWER COAL LIMITED","120160005914","23/08/2016","Retail sale via stalls and markets of other goods","Active","Local Company - Limited by Shares","4789. Retail sale via stalls and markets of other goods","True","1","0","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/08/2026. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Africoal Investment Company Limited","gold","AFRICOAL INVESTMENT COMPANY LIMITED","120241000358","10/01/2024","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 28/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Africoin Investment Limited","gemstones","AFRICOIN INVESTMENTS LIMITED","120230057714","04/10/2023","Restaurants and mobile food service activities","Active","Local Company - Limited by Shares","5610. Restaurants and mobile food service activities","False","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 28/08/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Africon Mining and Minerals Limited","gemstones","AFRICON MINING AND MINERALS LIMITED","120200007357","08/09/2020","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/08/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Afrimin Resources Limited","critical_battery","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","True","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"Afrimuk Company Limited","gemstones","AFRIMUK COMPANY LIMITED","120220033307","20/05/2022","Other retail sale in non-specialized stores","Active","Local Company - Limited by Shares","4719. Other retail sale in non-specialized stores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 20/05/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Afrique Nama Mining Limited","critical_battery","AFRIQUE NAMA MINING LIMITED ","120150133059","10/06/2015","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/01/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Afristones Resources Limited","gemstones","AFRISTONES RESOURCES LIMITED","120230049728","24/04/2023","Construction of buildings","Active","Local Company - Limited by Shares","4100. Construction of buildings","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 20/04/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Afritrans Global Investments Limited","gemstones","AFRITRANS GLOBAL INVESTMENTS LIMITED","120210016571","27/05/2021","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 31/03/2022. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Afrix Enterprises Limited","gold","AFRIX ENTERPRISES LIMITED","120220043450","19/12/2022","Mining of other non-ferrous metal ores","Active","Local Company - Limited by Shares","0729. Mining of other non-ferrous metal ores","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 18/12/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Afro Asia Mining Zambia Limited","critical_battery","AFRO ASIA MINING ZAMBIA LIMITED ","120110092465","18/05/2011","Support activities for other mining and quarrying","Inactive","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/04/2013. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Afro Development Services Limited","gemstones","AFRO DEVELOPMENT SERVICES LIMITED","119890018854","30/06/1989","Other professional, scientific and technical activities n.e.c.","Active","Local Company - Limited by Shares","7490. Other professional, scientific and technical activities n.e.c.","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 30/06/2021. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Afro Dynamics Limited","gemstones","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","True","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"Afro Wealth Limited","gemstones","AFRO WEALTH LIMITED","120210015428","27/04/2021","Combined office administrative service activities","Active","Local Company - Limited by Shares","8211. Combined office administrative service activities","True","0","0","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 21/04/2025. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal capital is within the legal limit."
"Afromi Investments Limited","critical_battery","AFROMI INVESTMENTS LIMITED","120070065776","09/03/2007","Other manufacturing n.e.c.","Active","Local Company - Limited by Shares","3290. Other manufacturing n.e.c.","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/04/2019. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Afron Mining Limited","gemstones","AFRON MINING LIMITED","120241001775","06/02/2024","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 01/01/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"AFTHONI METALS CONSORTIUM LIMITED","gemstones","AFTHONI METALS CONSORTIUM LIMITED","120241008123","10/06/2024","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 07/06/2025. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Afwino Investment Limited","gemstones","AFWINO INVESTMENT LIMITED","120160003887","01/06/2016","Non-specialized wholesale trade","Active","Local Company - Limited by Shares","4690. Non-specialized wholesale trade","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 05/06/2021. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"AgenaCorp Zambia Ltd","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Aggregates Limited","industrial_minerals","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","True","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]","System.Object[]"
"Agrivas Mineral and Metals Limited","gemstones","AGRIVAS MINERAL AND METALS LIMITED","120210024301","29/11/2021"," Other specialized construction activities","Active","Local Company - Limited by Shares","4390. Other specialized construction activities","True","0","1","1","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 21/02/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
